customer_id,first_name,last_name,email,phone,birth_date,account_open_date,account_type,status,balance_amount,deposit_amount,withdrawal_amount,credit_score,transaction_count,region,country_code,state_code,zip_code,referral_source,last_login_date,audit_required_fields_missing,audit_has_missing_required,audit_missing_required_count,audit_source_dataset,audit_load_timestamp,audit_row_id
A000037,Patricia,Martinez,patricia.martinez162@icloud.com,(624) 479-4531,1960-03-18,2012-09-14,CD,Pending,4501.13,4079.08,1612.31,307,484,Southeast,US,WI,43491,Referral,2023-01-16,,NO,0,dataset_A,2026-05-15 16:41:45,37
A000038,Susan,Rodriguez,susan.rodriguez390@icloud.com,,1978-02-01,2018-02-21,Money Market,Active,70218.96,25013.12,4299.08,771,470,Southwest,US,CT,41891,Mail,2025-12-09,,NO,0,dataset_A,2026-05-15 16:41:45,38
A000039,Lisa,Perez,lisa.perez227@outlook.com,(994) 557-6752,1963-04-02,2011-06-25,Savings,Active,77801.35,3818.97,1887.02,759,451,West,US,MA,92210,Referral,2023-05-20,,NO,0,dataset_A,2026-05-15 16:41:45,39
A000040,Lisa,Moore,lisa.moore606@gmail.com,(493) 278-2479,1995-06-29,2024-11-11,CD,Pending,34870.19,3709.53,1764.36,363,415,Midwest,US,VA,21053,Phone,2023-03-22,,NO,0,dataset_A,2026-05-15 16:41:45,40
A000041,Mark,King,mark.king536@icloud.com,,2000-01-22,2011-04-21,IRA,Inactive,15453.99,18642.6,2636.59,701,362,Midwest,US,OK,59372,Agent,2023-09-19,,NO,0,dataset_A,2026-05-15 16:41:45,41
A000042,Kimberly,Garcia,kimberly.garcia662@hotmail.com,(984) 697-4145,1962-05-05,2004-07-15,IRA,Active,50603.09,911.53,563.35,457,425,West,US,HI,67366,Online,2024-05-01,,NO,0,dataset_A,2026-05-15 16:41:45,42
A000043,Mark,Anderson,mark.anderson547@yahoo.com,(784) 651-8564,1984-04-05,2007-04-09,Savings,Closed,30601.52,40431.19,15008.55,828,145,Southeast,US,LA,68893,Phone,2025-06-14,,NO,0,dataset_A,2026-05-15 16:41:45,43
A000044,Joseph,Lewis,joseph.lewis906@outlook.com,,1980-01-30,2012-11-13,Savings,Suspended,93012.43,,394.23,453,372,Southwest,US,DE,47762,Branch,2023-04-08,,NO,0,dataset_A,2026-05-15 16:41:45,44
A000045,Michelle,Robinson,michelle.robinson65@gmail.com,(935) 347-5772,2005-02-27,2018-09-08,Checking,Pending,83587.12,24991.46,13146.99,819,199,Northeast,US,SD,60709,Referral,2023-02-03,,NO,0,dataset_A,2026-05-15 16:41:45,45
A000046,Daniel,Thomas,daniel.thomas751@gmail.com,(858) 379-8612,1992-12-06,2006-01-18,CD,Active,77035.89,36759.35,7332.38,617,417,Midwest,US,AZ,94790,Branch,2023-04-08,,NO,0,dataset_A,2026-05-15 16:41:45,46
A000047,Linda,White,linda.white448@hotmail.com,(709) 576-9507,1957-05-31,2019-04-26,Savings,Pending,74202.42,44731.87,14668.47,756,218,Southwest,US,MN,68606,Online,2024-12-23,,NO,0,dataset_A,2026-05-15 16:41:45,47
A000048,Karen,Brown,karen.brown77@hotmail.com,,1971-03-05,2017-03-04,Savings,Suspended,36012.77,40054.8,30565.2,842,160,Southeast,US,DE,13396,Agent,2025-11-26,,NO,0,dataset_A,2026-05-15 16:41:45,48
A000049,Linda,Taylor,linda.taylor794@outlook.com,(404) 325-3223,1990-07-22,2019-12-19,Money Market,Closed,70255.8,10728.52,3115.16,461,474,Southeast,US,MS,76683,Branch,2024-02-16,,NO,0,dataset_A,2026-05-15 16:41:45,49
A000050,Dorothy,Johnson,dorothy.johnson370@icloud.com,(267) 516-7523,1992-12-10,2018-05-14,Money Market,Active,57013.88,23370.29,8051.41,486,66,Northeast,US,DE,77908,Branch,2023-11-28,,NO,0,dataset_A,2026-05-15 16:41:45,50
A000051,Joseph,Thompson,joseph.thompson971@icloud.com,(328) 840-5961,1958-05-20,2006-12-01,IRA,Closed,89440.05,42296.69,,571,392,West,US,SD,13969,Mail,2024-08-16,,NO,0,dataset_A,2026-05-15 16:41:45,51
A000052,Donald,Thomas,donald.thomas825@hotmail.com,(408) 548-3353,1978-08-25,2015-06-29,Money Market,Pending,29392.1,3648.65,1702.0,553,25,Southwest,US,SC,64805,Branch,2023-11-24,,NO,0,dataset_A,2026-05-15 16:41:45,52
A000053,Christopher,Gonzalez,,(717) 668-4944,1981-08-29,2022-03-14,CD,Closed,49575.69,25736.24,11090.46,674,187,Northeast,US,OR,83638,Branch,2024-08-14,email,YES,1,dataset_A,2026-05-15 16:41:45,53
A000054,Mark,Scott,mark.scott287@icloud.com,(547) 771-6990,1967-11-10,2022-06-07,Savings,Closed,67880.06,5940.55,884.79,443,313,Southwest,US,SC,49221,Phone,2025-11-09,,NO,0,dataset_A,2026-05-15 16:41:45,54
A000055,Andrew,Martin,andrew.martin487@gmail.com,(942) 904-1436,1973-10-27,2010-03-17,CD,Inactive,36519.96,33690.32,26096.73,,,Southwest,US,GA,64127,Agent,2025-10-24,,NO,0,dataset_A,2026-05-15 16:41:45,55
A000056,Patricia,Rodriguez,patricia.rodriguez532@yahoo.com,(670) 745-6608,1973-09-19,2011-01-21,Savings,Closed,55869.12,49906.14,34447.21,791,478,Midwest,US,ME,25974,Phone,2025-02-16,,NO,0,dataset_A,2026-05-15 16:41:45,56
A000057,Barbara,Jackson,barbara.jackson44@outlook.com,(419) 406-9824,2000-06-03,2004-11-24,Savings,Inactive,95509.03,3951.47,891.73,402,367,Southeast,US,AL,82135,Branch,2025-09-01,,NO,0,dataset_A,2026-05-15 16:41:45,57
A000058,Charles,Lee,charles.lee293@gmail.com,(238) 379-7846,1965-10-09,2017-10-22,Money Market,Active,,4473.04,4153.02,765,278,Southeast,US,NC,71344,Referral,2023-08-19,balance_amount,YES,1,dataset_A,2026-05-15 16:41:45,58
A000059,Ashley,Taylor,ashley.taylor736@yahoo.com,(825) 854-7643,1996-03-24,2004-04-11,CD,Closed,915.46,,3969.85,637,370,Midwest,US,TN,57127,Agent,2023-08-31,,NO,0,dataset_A,2026-05-15 16:41:45,59
A000060,Margaret,Allen,margaret.allen946@outlook.com,(336) 689-3509,2004-05-05,2024-08-20,Savings,Inactive,68874.18,31935.57,25145.13,840,39,Northeast,US,AR,81781,Phone,2023-11-03,,NO,0,dataset_A,2026-05-15 16:41:45,60
A000061,Kimberly,Lewis,kimberly.lewis120@yahoo.com,(335) 725-7806,1955-03-07,2013-10-28,Money Market,Active,71550.26,24441.4,1106.95,365,30,Northeast,US,NM,14159,Referral,2023-10-05,,NO,0,dataset_A,2026-05-15 16:41:45,61
A000062,Anthony,White,anthony.white913@hotmail.com,(752) 336-6697,1998-03-14,2009-12-27,Money Market,Suspended,44577.98,45855.75,24392.21,553,79,Northeast,US,AZ,96533,Mail,2023-02-02,,NO,0,dataset_A,2026-05-15 16:41:45,62
A000063,Michael,Hill,michael.hill35@hotmail.com,(439) 752-4559,1955-01-24,2012-12-22,IRA,Closed,59577.38,35164.31,28777.86,446,266,Midwest,US,LA,17989,Phone,2023-12-25,,NO,0,dataset_A,2026-05-15 16:41:45,63
A000064,Emily,Young,emily.young49@outlook.com,(352) 507-7167,1998-04-05,2010-02-09,Savings,Suspended,94129.43,33567.13,32485.8,437,130,Northeast,US,NH,58637,Online,2024-01-26,,NO,0,dataset_A,2026-05-15 16:41:45,64
A000065,Joshua,Hill,joshua.hill41@gmail.com,(540) 510-1251,1967-01-18,2021-06-25,Savings,Suspended,18410.41,38084.82,29535.31,846,157,West,US,NY,71080,Online,2025-08-19,,NO,0,dataset_A,2026-05-15 16:41:45,65
A000066,Betty,Lee,betty.lee424@gmail.com,(793) 937-7841,1967-08-08,2011-01-09,Money Market,Closed,56033.74,11063.7,8005.23,771,407,Southeast,US,WA,81636,Mail,,,NO,0,dataset_A,2026-05-15 16:41:45,66
A000067,Patricia,,patricia.smith423@yahoo.com,(261) 832-8916,1951-05-31,,IRA,Closed,,11571.67,10527.6,398,123,West,US,KY,56457,Referral,2023-06-11,"last_name, account_open_date, balance_amount",YES,3,dataset_A,2026-05-15 16:41:45,67
A000068,Ashley,Torres,ashley.torres250@yahoo.com,(232) 295-7640,1999-08-02,2000-06-03,CD,Suspended,29647.45,41403.1,40464.46,840,117,West,US,NM,45532,Online,2024-07-28,,NO,0,dataset_A,2026-05-15 16:41:45,68
A000069,John,Lopez,john.lopez952@outlook.com,(278) 506-3661,2000-11-03,2024-03-31,Savings,Active,1073.64,10357.91,556.18,377,393,West,US,MT,52778,Online,2025-07-11,,NO,0,dataset_A,2026-05-15 16:41:45,69
A000070,Emily,Harris,emily.harris443@yahoo.com,(930) 275-2344,1984-02-03,2006-12-02,Money Market,Active,67809.33,33033.6,14691.23,404,95,West,US,OK,77166,Mail,2023-07-03,,NO,0,dataset_A,2026-05-15 16:41:45,70
A000071,Joshua,Hill,joshua.hill804@outlook.com,(772) 448-9537,1984-02-27,2013-07-04,Checking,Inactive,86303.68,617.03,298.79,557,369,West,US,SC,35630,Mail,2024-09-15,,NO,0,dataset_A,2026-05-15 16:41:45,71
A000072,Nancy,Flores,nancy.flores390@outlook.com,(507) 528-4290,1965-12-08,2013-01-27,CD,Pending,43742.4,21530.81,6035.09,673,288,West,US,ID,99353,Social Media,2025-08-03,,NO,0,dataset_A,2026-05-15 16:41:45,72
A000073,Charles,Jones,charles.jones839@hotmail.com,(633) 586-2211,2003-08-24,2023-12-21,CD,Pending,,6958.96,5652.74,387,127,Midwest,US,HI,94803,,2024-11-10,balance_amount,YES,1,dataset_A,2026-05-15 16:41:45,73
A000074,Michael,Taylor,michael.taylor228@icloud.com,(674) 990-9199,1952-03-15,2018-08-29,Savings,Closed,74558.73,27899.67,5771.53,787,369,Midwest,US,CA,49356,Online,2023-08-24,,NO,0,dataset_A,2026-05-15 16:41:45,74
A000075,Michael,Hernandez,michael.hernandez953@yahoo.com,(614) 844-4022,,2008-11-06,CD,Active,51357.39,27595.51,20760.81,364,409,Southeast,US,MS,52727,Branch,2024-06-21,,NO,0,dataset_A,2026-05-15 16:41:45,75
A000076,Kimberly,Lee,kimberly.lee612@hotmail.com,(889) 922-5873,2002-12-12,2014-01-18,Checking,Inactive,60936.5,29350.24,11401.49,692,249,Southeast,US,OK,31871,Mail,2024-01-19,,NO,0,dataset_A,2026-05-15 16:41:45,76
A000077,Michelle,Brown,michelle.brown887@outlook.com,(868) 706-7703,1987-04-16,2021-12-02,Checking,Inactive,95160.12,24230.45,13026.5,768,395,West,US,NC,24838,Phone,2025-01-21,,NO,0,dataset_A,2026-05-15 16:41:45,77
A000078,John,Lewis,john.lewis560@yahoo.com,(233) 660-5305,1957-10-21,2005-04-07,IRA,Closed,98972.46,5120.82,2192.57,511,412,Midwest,US,OH,46842,Phone,2024-10-24,,NO,0,dataset_A,2026-05-15 16:41:45,78
A000079,Andrew,Moore,andrew.moore976@icloud.com,(260) 483-3078,1961-11-27,2014-06-13,CD,Suspended,98541.57,33964.97,21323.64,377,450,Southwest,US,NC,46467,Agent,2025-01-25,,NO,0,dataset_A,2026-05-15 16:41:45,79
A000080,Christopher,Nguyen,christopher.nguyen3@gmail.com,(747) 607-4568,1969-01-02,2012-09-20,Savings,Pending,72958.66,22922.46,20496.22,347,401,Northeast,US,DE,30707,Mail,2025-05-26,,NO,0,dataset_A,2026-05-15 16:41:45,80
A000081,William,Martin,william.martin163@outlook.com,(253) 605-6005,1971-01-03,2004-04-08,Checking,Inactive,8880.67,18021.77,,423,216,Southwest,US,CA,40008,Mail,2023-07-29,,NO,0,dataset_A,2026-05-15 16:41:45,81
A000082,Lisa,Rodriguez,lisa.rodriguez392@yahoo.com,(368) 650-6753,1963-08-01,2019-11-05,Checking,Inactive,63978.4,33856.85,13002.11,622,126,Northeast,US,KS,82534,Phone,,,NO,0,dataset_A,2026-05-15 16:41:45,82
A000083,Jessica,King,jessica.king622@icloud.com,(445) 706-7322,1994-10-27,2023-09-12,Money Market,Inactive,18458.98,19587.55,8243.69,476,488,Northeast,US,AK,86986,,2023-03-23,,NO,0,dataset_A,2026-05-15 16:41:45,83
A000084,Margaret,Allen,margaret.allen294@icloud.com,(356) 484-2369,1995-11-15,2006-12-20,IRA,Active,76594.56,21178.76,20192.42,550,222,West,US,RI,17212,Referral,,,NO,0,dataset_A,2026-05-15 16:41:45,84
A000085,James,Hernandez,james.hernandez509@outlook.com,(999) 475-2934,1952-08-19,2012-03-14,IRA,Active,52062.04,39149.36,2170.41,470,130,West,US,UT,25117,Branch,2023-01-06,,NO,0,dataset_A,2026-05-15 16:41:45,85
A000086,James,Thomas,,(429) 529-5067,1978-09-14,2016-09-21,Checking,Inactive,36079.64,46011.33,2113.24,776,396,Midwest,US,CO,82494,,2024-08-20,email,YES,1,dataset_A,2026-05-15 16:41:45,86
A000087,Michelle,Thomas,michelle.thomas476@outlook.com,,1952-02-23,,Money Market,Active,58964.94,24668.03,10356.03,445,47,Southeast,US,ND,64140,Agent,2025-07-27,account_open_date,YES,1,dataset_A,2026-05-15 16:41:45,87
A000088,Michael,Allen,michael.allen137@hotmail.com,(467) 522-7438,1979-04-09,2010-06-24,Savings,Pending,7020.46,28391.04,12763.67,423,493,Southwest,US,MD,70731,Referral,2023-07-05,,NO,0,dataset_A,2026-05-15 16:41:45,88
A000089,Lisa,Hill,lisa.hill42@yahoo.com,(725) 250-5896,1965-08-07,2020-04-13,Savings,Active,83510.44,16389.68,,433,205,Northeast,US,PA,86823,Referral,2023-06-03,,NO,0,dataset_A,2026-05-15 16:41:45,89
A000090,Richard,Lewis,richard.lewis829@yahoo.com,(251) 372-8096,,2007-10-02,Savings,Closed,8743.85,42363.77,1467.88,551,255,West,US,NM,17992,Online,2023-10-09,,NO,0,dataset_A,2026-05-15 16:41:45,90
A000091,Kimberly,Thomas,kimberly.thomas646@icloud.com,(696) 552-9231,,2009-10-28,Money Market,Active,79382.05,49470.18,17682.27,538,51,Southeast,US,LA,79951,Social Media,2023-04-25,,NO,0,dataset_A,2026-05-15 16:41:45,91
A000092,Matthew,Thompson,matthew.thompson958@yahoo.com,(228) 920-6761,2000-07-25,2008-06-11,Savings,Suspended,,29625.98,6482.43,300,314,Southeast,US,MI,33260,Social Media,,balance_amount,YES,1,dataset_A,2026-05-15 16:41:45,92
A000093,Barbara,Davis,barbara.davis867@icloud.com,(303) 544-5944,1964-02-18,2021-11-08,IRA,Pending,85997.28,48027.94,28286.06,614,150,Northeast,US,VT,85082,Mail,2023-03-08,,NO,0,dataset_A,2026-05-15 16:41:45,93
A000094,Michelle,Anderson,michelle.anderson655@icloud.com,(527) 371-2453,,2011-03-12,Money Market,Active,9963.08,24809.25,10871.91,470,252,Midwest,US,OH,59197,Online,2024-04-06,,NO,0,dataset_A,2026-05-15 16:41:45,94
A000095,John,Jackson,john.jackson21@outlook.com,(276) 760-2525,2005-01-19,2019-05-07,CD,Inactive,25743.33,5236.25,5102.19,571,152,Northeast,US,MT,84943,Phone,2023-11-11,,NO,0,dataset_A,2026-05-15 16:41:45,95
A000096,Sandra,Garcia,sandra.garcia302@icloud.com,(684) 318-6052,1992-04-01,2011-11-20,CD,Inactive,47773.0,4849.34,904.8,750,115,West,US,AR,29808,Social Media,2023-07-18,,NO,0,dataset_A,2026-05-15 16:41:45,96
A000097,Paul,Clark,paul.clark995@icloud.com,(903) 686-4860,1957-01-31,2001-07-22,IRA,Pending,22365.03,3049.19,366.76,477,85,Southeast,US,FL,15593,Mail,2025-06-10,,NO,0,dataset_A,2026-05-15 16:41:45,97
A000098,Barbara,Hill,barbara.hill265@outlook.com,(533) 482-9514,1951-02-10,2023-06-10,Savings,Inactive,91035.85,45708.7,44101.2,408,51,West,US,MN,63856,Referral,2025-09-21,,NO,0,dataset_A,2026-05-15 16:41:45,98
A000099,John,Lopez,john.lopez283@hotmail.com,,,2013-12-12,Checking,Inactive,13957.19,30432.76,13485.08,575,309,Southeast,US,NH,37707,Social Media,2025-09-19,,NO,0,dataset_A,2026-05-15 16:41:45,99
A000100,Patricia,Allen,patricia.allen811@yahoo.com,(782) 229-3846,1968-01-04,2020-06-22,Savings,Closed,6094.51,35478.47,14082.9,331,250,Southeast,US,NM,86923,Phone,2023-12-01,,NO,0,dataset_A,2026-05-15 16:41:45,100
A000101,Jennifer,Jackson,jennifer.jackson29@hotmail.com,(430) 893-4387,,2021-04-07,IRA,Active,4489.93,42691.07,40257.89,581,192,Southwest,US,KY,38601,Mail,2025-12-02,,NO,0,dataset_A,2026-05-15 16:41:45,101
A000102,Michael,Smith,michael.smith524@outlook.com,(544) 483-6327,1973-06-06,2013-05-27,Savings,Active,55926.44,29688.63,17814.17,443,335,Midwest,US,KY,64862,Mail,2023-03-14,,NO,0,dataset_A,2026-05-15 16:41:45,102
A000103,Andrew,Gonzalez,andrew.gonzalez352@yahoo.com,(507) 374-3967,1992-03-27,2008-03-18,Checking,Inactive,68474.97,31915.68,9800.84,639,299,Northeast,US,NM,17035,Social Media,2023-05-26,,NO,0,dataset_A,2026-05-15 16:41:45,103
A000104,Steven,Davis,steven.davis889@hotmail.com,(550) 619-8496,1966-03-07,2007-12-07,Checking,Suspended,52748.77,20655.36,3482.61,801,399,West,US,NV,93032,Mail,,,NO,0,dataset_A,2026-05-15 16:41:45,104
A000105,Richard,,richard.white973@gmail.com,(454) 431-6641,1959-03-20,2013-09-24,Checking,Closed,89146.64,37842.39,19688.96,744,68,Southwest,US,MN,34697,Branch,2025-04-06,last_name,YES,1,dataset_A,2026-05-15 16:41:45,105
A000106,William,Wilson,,(989) 747-1796,1954-04-21,2000-11-19,CD,Suspended,58764.13,8449.24,4008.29,309,338,West,US,LA,91631,Phone,2025-05-07,email,YES,1,dataset_A,2026-05-15 16:41:45,106
A000107,Michelle,Davis,michelle.davis290@gmail.com,(406) 566-7713,1953-07-15,2009-04-25,Money Market,Inactive,,24886.95,20786.38,452,399,Northeast,US,KY,94454,Branch,2024-08-29,balance_amount,YES,1,dataset_A,2026-05-15 16:41:45,107
A000108,Michael,Lopez,michael.lopez896@gmail.com,(976) 246-1158,1965-04-19,2019-08-20,Checking,Closed,85150.99,18010.73,7218.3,578,353,Southwest,US,TN,31860,Online,2023-05-01,,NO,0,dataset_A,2026-05-15 16:41:45,108
A000109,Donna,Walker,,(694) 699-2850,1989-07-15,2014-02-04,IRA,Pending,67678.51,9063.03,8662.09,831,358,Southwest,US,TX,42581,Mail,2025-02-27,email,YES,1,dataset_A,2026-05-15 16:41:45,109
